PRODUCTO,MARCA,MODELO,IMGSRC,CODIGO
ATITUDE AT6287-C02,ATITUDE,AT6287-C02,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBQhMn9AYQSG7SLVxjPyTSQ2bIUOnelXAS7Q&s,2202                  
ATITUDE AT6287-K03,ATITUDE,AT6287-K03,https://www.safira.com.br/cdn/imagens/produtos/det/armacao-feminina-atitude-at6287-c02-26a67fe732c59dd50056e9a80ee0bbf9.jpg,2365                  
ATITUDE AT6294M-A02,ATITUDE,AT6294M-A02,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2zwU0y6eihUibFNPugDah7KIBGxUt8CdtpQ&s,2843                  
ATITUDE AT6295-A01,ATITUDE,AT6295-A01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3xbv3yyb9p-WXzg9OECm3XNhFPt-pzDfU4g&s,2842                  
ATITUDE AT6295-G02,ATITUDE,AT6295-G02,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-atitude-at6295-g02/oticavisaoweb/24402/73f59c4f62d7d5693e29e6d72d8a594e.jpeg,2839                  
ATITUDE AT6295-K02,ATITUDE,AT6295-K02,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-atitude-at6295-g02/oticavisaoweb/24402/73f59c4f62d7d5693e29e6d72d8a594e.jpeg,2838                  
ATITUDE AT6296-A01,ATITUDE,AT6296-A01,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-atitude-at6295-g02/oticavisaoweb/24402/73f59c4f62d7d5693e29e6d72d8a594e.jpeg,2861                  
ATITUDE AT6296-D02,ATITUDE,AT6296-D02,https://images.tcdn.com.br/img/img_prod/877056/oculos_de_grau_original_atitude_em_acetato_feminino_at6296_15589_2_474bfa0ee93aa3fa0178a00380ccf148.jpg,2864                  
ATITUDE AT6301M-A12,ATITUDE,AT6301M-A12,https://www.rafaeloticaerelojoaria.com.br/admin/arquivos/produtos/997420-d.27_02_2025_15_03_22.jpg,2736                  
ATITUDE AT6301M-H12,ATITUDE,AT6301M-H12,https://oculosshop.com.br/cdn/shop/files/102882_1_grande.jpg?v=1744042690,2732                  
ATITUDE AT7071-T01,ATITUDE,AT7071-T01,https://images.tcdn.com.br/img/img_prod/877056/90_oculos_de_grau_original_atitude_em_acetato_feminino_at6296_15589_1_4338653661a9004e00e226b1b0b3283d.jpg,1628                  
ATITUDE AT7169-A01,ATITUDE,AT7169-A01,https://www.rafaeloticaerelojoaria.com.br/admin/arquivos/produtos/951935-d.21_03_2025_14_15_30.jpg,2001                  
ATITUDE AT7174-A01,ATITUDE,AT7174-A01,https://dcdn-us.mitiendanube.com/stores/293/334/products/at7169-a01_11-4e1a0f6923662b804616757984010884-480-0.jpg,2011                  
ATITUDE AT7180-D01,ATITUDE,AT7180-D01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8Yca2B6vUFL_3NvgQQ8FfpXArypbEqx5owA&s,2378                  
ATITUDE AT7184M-D02,ATITUDE,AT7184M-D02,https://oculosshop.com.br/cdn/shop/files/102882-1.jpg?v=1744042690&width=416,2837                  
ATITUDE AT7185M-A01,ATITUDE,AT7185M-A01,https://http2.mlstatic.com/D_NQ_NP_970091-MLU77708936489_072024-O.webp,2379                  
ATITUDE AT7187-C21,ATITUDE,AT7187-C21,https://oticasdiniz.vtexassets.com/arquivos/ids/528279/1710591.jpg?v=638107236951600000,2810                  
ATITUDE AT7187-J01,ATITUDE,AT7187-J01,https://d5gag3xtge2og.cloudfront.net/producao/35144939/G/16.jpg,2804                  
ATITUDE AT7187-K01,ATITUDE,AT7187-K01,https://http2.mlstatic.com/D_NQ_NP_673675-MLB87602129710_072025-O.webp,2384                  
ATITUDE AT7187-T01,ATITUDE,AT7187-T01,https://araroptica.com.py/storage/productos/at7187k01531740142484.png,2809                  
ATITUDE AT7188-C01,ATITUDE,AT7188-C01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMzwJNWJH0dl-gjfJ7ZmBZ7bg4licQz8BdGQ&s,2812                  
ATITUDE AT7188-G01,ATITUDE,AT7188-G01,https://http2.mlstatic.com/D_NQ_NP_844315-MLB87602807886_072025-O.webp,2385                  
ATITUDE AT7188-T01,ATITUDE,AT7188-T01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmCw5Tf5RUrbhxcgfENNf2_d1CUImHp3r9Sg&s,2805                  
ATITUDE AT7189-H02,ATITUDE,AT7189-H02,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtrnvlJRm81mUvJagkcrvDlo5CcW8oEzUWow&s,2814                  
ATITUDE AT7189-K02,ATITUDE,AT7189-K02,https://d5gag3xtge2og.cloudfront.net/producao/34232848/G/3.png,2817                  
